Date,County,Total_Cases,Negatives,Deaths
4/21/20,Wayne,86,403,3
4/21/20,Westmoreland,291,3529,20
4/21/20,Wyoming,17,78,1
4/21/20,York,517,5481,13
4/20/20,Adams,85,1208,1
4/20/20,Allegheny,1042,11348,55
4/20/20,Armstrong,38,459,2
4/20/20,Beaver,298,1621,36
4/20/20,Bedford,15,103,1
4/20/20,Berks,1945,3948,74
4/20/20,Blair,14,637,0
4/20/20,Bradford,25,391,1
4/20/20,Bucks,1812,5742,90
4/20/20,Butler,161,1801,5
4/20/20,Cambria,19,499,1
4/20/20,Cameron,1,19,0
4/20/20,Carbon,144,781,9
4/20/20,Centre,73,605,1
4/20/20,Chester,883,3994,44
4/20/20,Clarion,18,376,1
4/20/20,Clearfield,11,327,0
4/20/20,Clinton,11,109,0
4/20/20,Columbia,208,194,7
4/20/20,Crawford,16,549,0
4/20/20,Cumberland,186,904,4
4/20/20,Dauphin,386,2396,9
4/20/20,Delaware,2484,6398,99
4/20/20,Elk,2,118,0
4/20/20,Erie,60,1335,0
4/20/20,Fayette,67,1354,3
4/20/20,Forest,7,21,0
4/20/20,Franklin,115,2174,0
4/20/20,Fulton,2,54,0
4/20/20,Greene,25,324,0
4/20/20,Huntingdon,13,179,0
4/20/20,Indiana,53,439,4
4/20/20,Jefferson,3,255,0
4/20/20,Juniata,72,69,0
4/20/20,Lackawanna,646,1573,41
4/20/20,Lancaster,1236,5808,66
4/20/20,Lawrence,59,531,5
4/20/20,Lebanon,502,1972,5
4/20/20,Lehigh,2245,5792,33
4/20/20,Luzerne,1767,3399,36
4/20/20,Lycoming,40,775,0
4/20/20,McKean,4,123,0
4/20/20,Mercer,59,500,1
4/20/20,Mifflin,20,523,0
4/20/20,Monroe,970,2061,39
4/20/20,Montgomery,3040,12304,184
